accommodates,bathrooms,bedrooms,review_scores_checkin,review_scores_communication,latitude,longitude,property_type_0,property_type_1,property_type_2,property_type_3,property_type_4,property_type_5,room_type_0,room_type_1,room_type_2,bed_type_0,bed_type_1,bed_type_2,bed_type_3,bed_type_4,beds,review_scores_value,host_listing_count,review_scores_cleanliness,review_scores_accuracy,minimum_nights,price
2,1.0,1.0,9.0,9.0,40.75685194,-73.96475423,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,1,7.0,9.0,3,160
10,1.0,3.0,9.0,8.0,40.83059907,-73.94101428,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,8.0,2,8.0,8.0,1,105
2,1.0,1.0,10.0,10.0,40.69218932,-73.92412,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,10.0,4,10.0,10.0,3,58
2,1.0,1.0,10.0,10.0,40.73475109,-74.00259246,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,1,9.0,10.0,10,185
2,1.0,1.0,10.0,10.0,40.74528161,-73.99783627,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,10.0,1,10.0,10.0,1,195
6,1.0,2.0,10.0,9.0,40.6790599,-73.99473046,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,9.0,2,9.0,10.0,2,165
2,1.0,1.0,10.0,10.0,40.68442184,-73.90988221,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,1,9.0,9.0,1,80
2,1.0,1.0,10.0,10.0,40.71931947,-73.99724679,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,1,9.0,9.0,2,120
4,1.0,2.0,9.0,10.0,40.72602241,-73.98641795,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,9.0,4,9.0,10.0,1,150
2,1.0,1.0,10.0,10.0,40.68642018,-73.9344017,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,4,9.0,10.0,4,40
4,1.0,1.0,10.0,10.0,40.68906208,-73.97790509,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,1,9.0,9.0,2,150
2,1.0,1.0,10.0,10.0,40.68906438,-73.91614428,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,1,9.0,9.0,1,75
4,1.0,1.0,10.0,9.0,40.75112878,-73.98534538,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,8.0,25,6.0,7.0,3,80
2,1.0,1.0,10.0,10.0,40.6677904,-73.93678658,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,3,10.0,9.0,1,110
3,1.0,1.0,9.0,10.0,40.76067918,-73.98444316,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,8.0,3,8.0,5.0,19,189
3,1.0,1.0,10.0,10.0,40.73510923,-74.00182143,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,1,9.0,10.0,2,200
1,1.0,1.0,9.0,9.0,40.73328538,-73.9843566,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,2,9.0,9.0,5,95
2,1.0,1.0,10.0,10.0,40.86227015,-73.9270169,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,1,8.0,10.0,1,125
1,1.0,1.0,8.0,8.0,40.84796614,-73.93046644,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,3,8.0,8.0,7,35
4,1.0,1.0,8.0,8.0,40.67099719,-73.9581066,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,10.0,1,6.0,8.0,1,165
2,1.0,1.0,10.0,10.0,40.70687933,-74.00548582,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,2,8.0,8.0,2,100
2,1.0,1.0,10.0,10.0,40.80652596,-73.95193601,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,1,8.0,10.0,2,110
1,1.0,1.0,10.0,10.0,40.72606714,-73.95102528,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,2,10.0,10.0,1,65
2,2.0,1.0,10.0,10.0,40.69863005,-73.9285374,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,1,9.0,9.0,1,200
2,1.0,1.0,10.0,10.0,40.79932214,-73.96767927,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,1,10.0,10.0,2,150
3,2.0,1.0,10.0,10.0,40.71812503,-73.99484809,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,1,9.0,9.0,1,300
10,1.0,3.0,9.0,9.0,40.81316065,-73.94902419,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,8.0,10,8.0,9.0,1,255
