id,host_since,zipcode,latitude,longitude,accommodates,bathrooms,bedrooms,beds,guests_included,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,host_listing_count,price,property_type_0,property_type_1,property_type_2,property_type_3,property_type_4,property_type_5,room_type_0,room_type_1,room_type_2,bed_type_0,bed_type_1,bed_type_2,bed_type_3,bed_type_4
1069266,1926,10022.0,40.75685194,-73.96475423,2,1.0,1.0,1.0,2,3,14,21,51,72,322,62,1944.0,2542.0,86.0,9.0,7.0,9.0,9.0,10.0,9.0,1,160,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1846722,1625,10532.0,40.83059907,-73.94101428,10,1.0,3.0,3.0,1,1,180,28,58,88,348,22,2196.0,2554.0,85.0,8.0,8.0,9.0,8.0,7.0,8.0,2,105,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2061725,1831,11221.0,40.69218932,-73.92412,2,1.0,1.0,2.0,1,3,30,4,13,26,227,35,2226.0,2554.0,98.0,10.0,10.0,10.0,10.0,9.0,10.0,4,58,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
44974,953,10011.0,40.73475109,-74.00259246,2,1.0,1.0,1.0,1,10,30,1,1,1,274,26,1011.0,2494.0,96.0,10.0,9.0,10.0,10.0,10.0,9.0,1,185,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4701675,2479,10011.0,40.74528161,-73.99783627,2,1.0,1.0,2.0,1,1,1125,30,60,90,365,1,2533.0,2533.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,195,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
68914,1106,11231.0,40.6790599,-73.99473046,6,1.0,2.0,3.0,2,2,365,11,33,57,287,16,1295.0,2536.0,96.0,10.0,9.0,10.0,9.0,10.0,9.0,2,165,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3005360,1811,10003.0,40.72602241,-73.98641795,4,1.0,2.0,2.0,2,1,1125,30,60,90,274,14,2327.0,2547.0,96.0,10.0,9.0,9.0,10.0,10.0,9.0,4,150,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2431607,1862,11221.0,40.68642018,-73.9344017,2,1.0,1.0,1.0,1,4,30,0,30,60,335,10,2334.0,2436.0,94.0,10.0,9.0,10.0,10.0,9.0,9.0,4,40,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
234327,1247,10018.0,40.75112878,-73.98534538,4,1.0,1.0,4.0,1,3,365,30,60,90,365,7,1378.0,2499.0,80.0,7.0,6.0,10.0,9.0,10.0,8.0,25,80,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2000287,2157,11213.0,40.6677904,-73.93678658,2,1.0,1.0,1.0,2,1,1125,29,59,89,364,26,2194.0,2511.0,91.0,9.0,10.0,10.0,10.0,8.0,9.0,3,110,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2525956,2015,10019.0,40.76067918,-73.98444316,3,1.0,1.0,2.0,1,19,1125,30,60,90,365,7,2290.0,2542.0,86.0,5.0,8.0,9.0,10.0,10.0,8.0,3,189,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
809929,1792,10014.0,40.73510923,-74.00182143,3,1.0,1.0,1.0,2,2,14,4,34,64,339,8,1845.0,2514.0,100.0,10.0,9.0,10.0,10.0,10.0,9.0,1,200,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
753622,1301,10003.0,40.73328538,-73.9843566,1,1.0,1.0,1.0,1,5,30,30,60,90,365,6,2035.0,2539.0,90.0,9.0,9.0,9.0,9.0,10.0,9.0,2,95,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1781041,2109,10040.0,40.86227015,-73.9270169,2,1.0,1.0,1.0,1,1,1125,30,60,90,365,2,2115.0,2352.0,100.0,10.0,8.0,10.0,10.0,8.0,10.0,1,125,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4060165,1525,10033.0,40.84796614,-73.93046644,1,1.0,1.0,1.0,1,7,31,30,60,90,365,6,2461.0,2544.0,73.0,8.0,8.0,8.0,8.0,9.0,8.0,3,35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
4323940,1801,11238.0,40.67099719,-73.9581066,4,1.0,1.0,2.0,1,1,1125,14,44,74,349,1,2497.0,2497.0,80.0,8.0,6.0,8.0,8.0,10.0,10.0,1,165,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1832976,1266,10038.0,40.70687933,-74.00548582,2,1.0,1.0,1.0,1,2,1125,0,3,33,123,30,2142.0,2491.0,90.0,8.0,8.0,10.0,10.0,10.0,9.0,2,100,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
4218098,2462,10027.0,40.80652596,-73.95193601,2,1.0,1.0,1.0,1,2,1125,6,6,6,191,2,2476.0,2485.0,100.0,10.0,8.0,10.0,10.0,8.0,8.0,1,110,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4053471,1758,11222.0,40.72606714,-73.95102528,1,1.0,1.0,1.0,1,1,1125,1,31,61,336,4,2463.0,2533.0,95.0,10.0,10.0,10.0,10.0,10.0,10.0,2,65,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2596813,2269,10025.0,40.79932214,-73.96767927,2,1.0,1.0,1.0,1,2,7,12,32,57,332,11,2287.0,2480.0,96.0,10.0,10.0,10.0,10.0,10.0,9.0,1,150,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
312664,367,10030.0,40.81316065,-73.94902419,10,1.0,3.0,5.0,3,1,1125,3,33,63,324,33,1570.0,2526.0,88.0,9.0,8.0,9.0,9.0,7.0,8.0,10,255,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26229,717,10003.0,40.73400013,-73.99449085,2,1.0,1.0,2.0,2,5,180,29,59,78,353,37,865.0,2511.0,92.0,9.0,9.0,9.0,10.0,10.0,9.0,1,299,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2993952,1636,10013.0,40.72345022,-74.00325733,2,1.0,0.0,1.0,1,1,1125,0,0,0,213,1,2370.0,2370.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,195,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3414741,2165,10038.0,40.71117318,-74.00667598,3,1.0,1.0,1.0,1,2,1125,30,60,90,347,1,2447.0,2447.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,365,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
