id,host_since,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,guests_included,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,host_listing_count,price
1069266,1926,10022,40.75685194,-73.96475423,0,0,2,1,1,1,0,2,3,14,21,51,72,322,62,1944,2542,86,9,7,9,9,10,9,1,160
1846722,1625,,40.83059907,-73.94101428,0,0,10,1,3,3,0,1,1,180,28,58,88,348,22,2196,2554,85,8,8,9,8,7,8,2,105
2061725,1831,11221,40.69218932,-73.92412,0,1,2,1,1,2,0,1,3,30,4,13,26,227,35,2226,2554,98,10,10,10,10,9,10,4,58
44974,953,10011,40.73475109,-74.00259246,0,0,2,1,1,1,0,1,10,30,1,1,1,274,26,1011,2494,96,10,9,10,10,10,9,1,185
4701675,2479,10011,40.74528161,-73.99783627,0,0,2,1,1,2,0,1,1,1125,30,60,90,365,1,2533,2533,100,10,10,10,10,10,10,1,195
68914,1106,11231,40.6790599,-73.99473046,0,0,6,1,2,3,0,2,2,365,11,33,57,287,16,1295,2536,96,10,9,10,9,10,9,2,165
4832596,1779,11207,40.68442184,-73.90988221,0,1,2,1,1,1,0,1,1,1125,29,59,89,364,0,,,,,,,,,,1,80
2562510,2264,10013,40.71931947,-73.99724679,0,1,2,1,1,1,0,1,2,1125,5,5,5,273,0,,,,,,,,,,1,120
3005360,1811,10003,40.72602241,-73.98641795,0,0,4,1,2,2,0,2,1,1125,30,60,90,274,14,2327,2547,96,10,9,9,10,10,9,4,150
2431607,1862,11221,40.68642018,-73.9344017,0,2,2,1,1,1,0,1,4,30,0,30,60,335,10,2334,2436,94,10,9,10,10,9,9,4,40
1322641,1576,11217,40.68906208,-73.97790509,0,0,4,,1,1,0,1,2,7,0,30,60,334,0,,,,,,,,,,1,150
4833061,2540,11221,40.68906438,-73.91614428,0,1,2,1,1,1,0,1,1,1125,2,32,62,337,0,,,,,,,,,,1,75
234327,1247,10018,40.75112878,-73.98534538,0,2,4,1,1,4,0,1,3,365,30,60,90,365,7,1378,2499,80,7,6,10,9,10,8,25,80
2000287,2157,11213,40.6677904,-73.93678658,0,1,2,1,1,1,0,2,1,1125,29,59,89,364,26,2194,2511,91,9,10,10,10,8,9,3,110
2525956,2015,10019,40.76067918,-73.98444316,0,0,3,1,1,2,0,1,19,1125,30,60,90,365,7,2290,2542,86,5,8,9,10,10,8,3,189
809929,1792,10014,40.73510923,-74.00182143,0,0,3,1,1,1,0,2,2,14,4,34,64,339,8,1845,2514,100,10,9,10,10,10,9,1,200
753622,1301,10003,40.73328538,-73.9843566,0,1,1,1,1,1,0,1,5,30,30,60,90,365,6,2035,2539,90,9,9,9,9,10,9,2,95
1781041,2109,10040,40.86227015,-73.9270169,0,0,2,1,1,1,0,1,1,1125,30,60,90,365,2,2115,2352,100,10,8,10,10,8,10,1,125
4060165,1525,10033,40.84796614,-73.93046644,0,2,1,1,1,1,0,1,7,31,30,60,90,365,6,2461,2544,73,8,8,8,8,9,8,3,35
4323940,1801,11238,40.67099719,-73.9581066,0,0,4,1,1,2,0,1,1,1125,14,44,74,349,1,2497,2497,80,8,6,8,8,10,10,1,165
1832976,1266,10038,40.70687933,-74.00548582,0,1,2,1,1,1,0,1,2,1125,0,3,33,123,30,2142,2491,90,8,8,10,10,10,9,2,100
4218098,2462,10027,40.80652596,-73.95193601,0,0,2,1,1,1,0,1,2,1125,6,6,6,191,2,2476,2485,100,10,8,10,10,8,8,1,110
4053471,1758,11222,40.72606714,-73.95102528,0,1,1,1,1,1,0,1,1,1125,1,31,61,336,4,2463,2533,95,10,10,10,10,10,10,2,65
